,BFS,Dijkstra(1),Dijkstra(Haversine),Dijkstra(Euclidean),BellmanFord(Euclidean),G_BFS(Haversine),G_BFS(Euclidean),"A_star(1, Euclidean)","A_star(1, Haversine)","A_star(Euclidean, Euclidean)","A_star(Euclidean, Haversine)","A_star(Haversine, Euclidean)","A_star(Haversine, Haversine)","bi_A_star(1, Euclidean)","bi_A_star(1, Haversine)","bi_A_star(Euclidean, Euclidean)","bi_A_star(Euclidean, Haversine)","bi_A_star(Haversine, Euclidean)","bi_A_star(Haversine, Haversine)"
0,44.250733644513915,44.250733644513915,44.09135131932848,44.09135131932848,44.09135131932848,44.09135131932848,44.09135131932848,44.250733644513915,44.250733644513915,44.09135131932848,44.09135131932848,44.09135131932848,44.09135131932848,44.250733644513915,44.250733644513915,45.54963664925389,45.54963664925389,45.54963664925389,45.54963664925389
1,54.25342350849729,54.25342350849729,53.39034025358116,53.39034025358116,53.39034025358116,54.772234236374196,54.772234236374196,54.25342350849729,54.25342350849729,53.39034025358116,53.39034025358116,53.39034025358116,53.39034025358116,54.25342350849729,54.25342350849729,58.03324765624312,56.63916164300042,58.03324765624312,56.63916164300042
2,32.70990062331454,32.70990062331454,32.70990062331454,32.70990062331454,32.70990062331454,35.47539849130081,35.47539849130081,32.70990062331454,32.70990062331454,32.70990062331454,32.70990062331454,32.70990062331454,32.70990062331454,33.28960189942028,33.28960189942028,32.70990062331454,32.70990062331454,32.70990062331454,32.70990062331454
3,43.610121609210886,44.00556532144497,42.10779548710851,42.10779548710851,42.10779548710851,42.51719726503408,42.51719726503408,44.68508461803973,44.68508461803973,42.10779548710851,42.10779548710851,42.10779548710851,42.10779548710851,43.610121609210886,43.610121609210886,42.10779548710851,42.10779548710851,42.10779548710851,42.10779548710851
4,22.70912403563977,22.70912403563977,20.090581011949805,20.090581011949805,20.090581011949805,22.70912403563977,22.70912403563977,22.70912403563977,22.70912403563977,20.090581011949805,20.090581011949805,20.090581011949805,20.090581011949805,22.072525663333426,22.072525663333426,21.258717816280473,21.258717816280473,21.258717816280473,21.258717816280473
