,BFS,Dijkstra(1),Dijkstra(Haversine),Dijkstra(Euclidean),BellmanFord(1),BellmanFord(Euclidean),G_BFS(Haversine),G_BFS(Euclidean),"A_star(1, Euclidean)","A_star(1, Haversine)","A_star(Euclidean, Euclidean)","A_star(Euclidean, Haversine)","A_star(Haversine, Euclidean)","A_star(Haversine, Haversine)","bi_A_star(1, Euclidean)","bi_A_star(1, Haversine)","bi_A_star(Euclidean, Euclidean)","bi_A_star(Euclidean, Haversine)","bi_A_star(Haversine, Euclidean)","bi_A_star(Haversine, Haversine)"
200,0.0,0.9992122650146484,21.000146865844727,0.9996891021728516,51.71942710876465,175.38738250732422,2.0003318786621094,1.0001659393310547,0.0,7.999897003173828,0.0,9.000301361083984,4.999876022338867,8.999824523925781,0.0,6.999969482421875,0.0,6.000041961669922,4.999637603759766,8.997201919555664
201,0.99945068359375,1.0001659393310547,83.00065994262695,1.5077590942382812,48.94757270812988,173.64025115966797,7.000446319580078,1.0001659393310547,1.0004043579101562,34.999847412109375,1.0001659393310547,30.99966049194336,17.000198364257812,35.00056266784668,0.0,13.99993896484375,0.9996891021728516,55.00006675720215,31.000614166259766,66.37740135192871
202,0.9996891021728516,0.9999275207519531,92.99206733703613,1.9993782043457031,45.99952697753906,174.99995231628418,5.000591278076172,0.0,1.0001659393310547,27.9996395111084,1.0006427764892578,41.99934005737305,8.000612258911133,62.99996376037598,1.0004043579101562,16.000032424926758,1.0001659393310547,22.515058517456055,174.2250919342041,46.23913764953613
203,1.0035037994384766,0.0,55.68861961364746,0.9973049163818359,49.38530921936035,171.99230194091797,2.002716064453125,0.0,0.0,23.231983184814453,0.0,22.99642562866211,3.0028820037841797,17.000198364257812,0.0,7.045269012451172,0.0,24.993181228637695,49.503326416015625,9.000062942504883
204,1.9989013671875,2.000093460083008,100.99983215332031,1.9998550415039062,50.99797248840332,174.3757724761963,6.001710891723633,0.0,1.9981861114501953,42.00935363769531,0.9965896606445312,46.00024223327637,14.99485969543457,91.78853034973145,0.9965896606445312,14.999866485595703,0.0,29.00218963623047,279.74605560302734,122.67327308654785
205,0.0,1.0006427764892578,43.966054916381836,1.0004043579101562,49.00383949279785,171.9963550567627,5.019426345825195,0.0,0.9999275207519531,16.998291015625,1.0063648223876953,19.002676010131836,7.0018768310546875,18.002986907958984,1.0030269622802734,12.999534606933594,1.0030269622802734,22.001028060913086,214.6921157836914,31.012773513793945
206,1.0116100311279297,1.9991397857666016,85.99066734313965,2.0051002502441406,46.00358009338379,166.99981689453125,8.997678756713867,0.0,1.0020732879638672,34.000396728515625,1.0013580322265625,34.99937057495117,8.997917175292969,39.00003433227539,1.0035037994384766,25.28238296508789,0.0,26.99756622314453,342.99421310424805,21.999597549438477
207,0.0,0.0,15.661478042602539,0.0,51.0251522064209,170.99928855895996,3.007173538208008,0.0,0.9982585906982422,6.000041961669922,0.0,7.000446319580078,3.9970874786376953,7.000207901000977,0.0,4.004955291748047,0.0,8.002996444702148,3.9987564086914062,7.004022598266602
208,0.9698867797851562,0.9968280792236328,77.78787612915039,0.9987354278564453,46.0047721862793,166.81265830993652,5.999088287353516,0.0,1.0001659393310547,28.996706008911133,0.0,32.99832344055176,9.007930755615234,36.002159118652344,1.0030269622802734,15.000343322753906,0.9996891021728516,21.997690200805664,170.00436782836914,30.683517456054688
209,0.9820461273193359,0.9992122650146484,73.00138473510742,0.9977817535400391,46.99969291687012,166.00847244262695,13.008594512939453,1.0001659393310547,1.001119613647461,30.999422073364258,0.0,28.000831604003906,26.999473571777344,25.977373123168945,0.0,7.966518402099609,1.0192394256591797,49.00026321411133,36.997318267822266,17.99917221069336
210,1.020193099975586,1.9993782043457031,104.75659370422363,2.005338668823242,45.998573303222656,169.77500915527344,5.998849868774414,0.9975433349609375,2.007007598876953,42.97018051147461,0.0,42.99807548522949,8.997917175292969,32.99546241760254,1.0099411010742188,22.99976348876953,1.0075569152832031,41.999101638793945,220.99685668945312,82.00621604919434
211,0.0,0.0,19.002437591552734,0.0,51.991939544677734,167.63997077941895,2.000093460083008,0.0,0.0,6.0024261474609375,0.0,9.002447128295898,2.9993057250976562,9.000301361083984,0.0,2.999544143676758,0.0,9.002447128295898,14.997005462646484,13.002157211303711
212,0.0,1.0025501251220703,60.99534034729004,0.9970664978027344,47.68109321594238,169.77882385253906,6.000280380249023,0.0,0.9973049163818359,27.9998779296875,0.0,24.999141693115234,7.993459701538086,36.998748779296875,1.0023117065429688,16.00027084350586,1.020669937133789,18.759965896606445,7.004261016845703,17.997264862060547
213,0.0,0.0,28.99789810180664,0.0,45.996665954589844,172.00541496276855,2.994060516357422,0.0,0.0,15.9912109375,0.0,13.99993896484375,5.99980354309082,8.999824523925781,1.0001659393310547,10.999441146850586,1.0006427764892578,24.00064468383789,8.002519607543945,8.00180435180664
214,1.009225845336914,0.0,41.997671127319336,1.0004043579101562,46.000003814697266,167.00029373168945,3.0031204223632812,0.0,1.0023117065429688,15.998125076293945,0.0,16.00050926208496,2.9990673065185547,13.998270034790039,1.0020732879638672,6.004095077514648,0.0,9.027481079101562,66.99776649475098,18.999576568603516
215,1.0042190551757812,1.9903182983398438,64.00012969970703,1.0001659393310547,45.998573303222656,166.99981689453125,5.988359451293945,0.0,1.003265380859375,26.99875831604004,0.0,27.995824813842773,8.999824523925781,35.99858283996582,0.9958744049072266,22.99952507019043,1.0042190551757812,28.99932861328125,8.997678756713867,22.292137145996094
216,0.9889602661132812,1.0082721710205078,51.00274085998535,0.0,46.00167274475098,169.00205612182617,3.9997100830078125,0.0,0.0,18.9666748046875,0.9999275207519531,18.99409294128418,5.992650985717773,24.996280670166016,0.9894371032714844,11.001825332641602,0.0,19.99521255493164,81.00008964538574,28.00130844116211
217,0.9839534759521484,1.0006427764892578,82.00550079345703,0.9996891021728516,47.823429107666016,168.20955276489258,10.99538803100586,0.0,0.9961128234863281,29.99734878540039,0.9973049163818359,34.00015830993652,34.01923179626465,57.00063705444336,1.0030269622802734,12.97616958618164,1.0001659393310547,21.03257179260254,52.99973487854004,37.671566009521484
