,BFS,Dijkstra(1),Dijkstra(Haversine),Dijkstra(Euclidean),BellmanFord(Euclidean),G_BFS(Euclidean),"A_star(1, Euclidean)","A_star(1, Haversine)","A_star(Euclidean, Euclidean)","A_star(Euclidean, Haversine)","A_star(Haversine, Euclidean)","A_star(Haversine, Haversine)","bi_A_star(1, Euclidean)","bi_A_star(1, Haversine)","bi_A_star(Euclidean, Euclidean)","bi_A_star(Euclidean, Haversine)","bi_A_star(Haversine, Euclidean)","bi_A_star(Haversine, Haversine)"
65,293,293,299,299,93330,39,289,289,145,144,145,144,63,63,29,29,29,29
66,303,302,290,290,93330,107,302,302,164,164,164,164,57,57,28,28,28,28
67,103,104,126,126,93330,18,83,83,21,21,21,21,14,14,9,9,9,9
68,159,171,225,225,93330,22,152,152,35,35,35,35,28,28,11,11,11,11
69,292,288,233,233,93330,24,287,287,80,80,80,80,39,39,11,11,11,11
70,279,282,274,274,93330,27,277,277,84,84,84,84,73,73,16,16,16,16
71,128,122,130,130,93330,14,112,112,39,39,39,39,34,34,8,8,8,8
72,3,5,2,2,93330,2,2,2,2,2,2,2,2,2,2,2,2,2
73,268,274,261,261,93330,64,264,264,54,54,54,54,42,42,26,26,26,26
74,186,181,188,188,93330,22,174,174,31,31,31,31,28,28,18,18,18,18
75,230,227,226,226,93330,33,226,226,118,118,118,118,68,68,17,17,17,17
76,121,121,118,118,93330,20,103,103,34,34,34,34,30,30,13,13,13,13
77,191,183,192,192,93330,13,181,181,81,81,81,81,30,30,17,17,17,17
78,3,2,3,3,93330,2,2,2,2,2,2,2,2,2,2,2,2,2
79,67,67,116,116,93330,20,66,66,32,32,32,32,27,27,26,26,26,26
80,92,92,115,115,93330,7,73,73,46,46,46,46,17,17,9,9,9,9
81,190,188,235,235,93330,12,183,183,18,18,18,18,16,16,10,10,10,10
82,176,170,219,219,93330,15,159,159,26,26,26,26,12,12,7,7,7,7
83,142,144,181,181,93330,16,130,130,32,32,32,32,37,37,11,11,11,11
84,25,25,27,27,93330,6,25,25,6,6,6,6,8,8,4,4,4,4
85,306,306,310,310,93330,46,306,306,81,80,81,80,68,68,24,24,24,24
86,89,90,53,53,93330,15,86,86,18,18,18,18,17,17,8,8,8,8
87,279,282,278,278,93330,26,278,278,104,104,104,104,69,69,23,23,23,23
88,10,5,8,8,93330,3,5,5,3,3,3,3,2,2,2,2,2,2
89,48,45,33,33,93330,17,40,40,18,18,18,18,13,13,11,11,11,11
90,209,205,279,279,93330,52,203,203,153,153,153,153,55,55,29,29,29,29
91,24,20,30,30,93330,4,18,18,5,5,5,5,9,9,3,3,3,3
92,185,179,243,243,93330,32,170,170,39,39,39,39,32,32,18,18,18,18
93,41,38,24,24,93330,12,30,30,13,13,13,13,8,8,7,7,7,7
94,201,207,204,204,93330,29,194,194,62,62,62,62,63,63,23,23,23,23
95,106,109,245,245,93330,44,98,98,65,65,65,65,18,18,26,26,26,26
96,50,54,29,29,93330,11,38,38,9,9,9,9,8,8,6,6,6,6
97,186,180,231,231,93330,25,180,180,57,57,57,57,26,26,29,29,29,29
98,11,13,5,5,93330,4,11,11,4,4,4,4,3,3,3,3,3,3
99,301,299,284,284,93330,22,295,295,62,63,62,63,45,45,13,13,13,13
100,10,15,19,19,93330,4,10,10,5,5,5,5,6,6,4,4,4,4
101,279,285,286,286,93330,46,279,279,121,120,121,120,46,46,21,21,21,21
102,96,99,94,94,93330,17,86,86,34,34,34,34,25,25,13,13,13,13
103,295,294,275,275,93330,96,292,292,128,128,128,128,38,38,19,19,19,19
104,300,301,292,292,93330,30,298,298,54,54,54,54,40,40,18,18,18,18
105,293,296,306,306,93330,26,292,292,174,173,173,173,42,42,23,23,23,23
106,176,163,144,144,93330,29,159,159,43,43,43,43,34,34,19,19,19,19
107,118,115,127,127,93330,12,112,112,19,19,19,19,24,24,8,8,8,8
108,128,118,159,159,93330,12,115,115,27,27,27,27,14,14,14,14,14,14
